name,celebrity_class,age,twitter_url
Bill Ackman,hedge_fund_manager,53,https://twitter.com/billackman?lang=en
Bill Gates ,philanthropist,63,https://twitter.com/BillGates?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Melinda Gates ,philanthropist,54,https://twitter.com/melindagates?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Warren Buffet,hedge_fund_manager,88,https://twitter.com/warrenbuffett?lang=en
Jon Zornow,ceo_tech,,https://twitter.com/jonzornow?lang=en
Lori Greiner,ceo_celebrity,49,https://twitter.com/LoriGreiner?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Barbara Cororan,ceo_celebrity,70,https://twitter.com/BarbaraCorcoran?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Kevin O'Leary,ceo_celebrity,65,https://twitter.com/kevinolearytv?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Robert Herjavec,ceo_celebrity,56,https://twitter.com/robertherjavec?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Antonio Guterres,ceo_npo,70,https://twitter.com/antonioguterres?lang=en
Chicago Fed,public_institution,,https://twitter.com/ChicagoFed?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
New York Fed,public_institution,,https://twitter.com/newyorkfed?lang=en
Boston Fed,public_institution,,https://twitter.com/BostonFed?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Minneapolis Fed,public_institution,,https://twitter.com/MinneapolisFed?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Federal Reserve,public_institution,,https://twitter.com/federalreserve?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
St. Louis Fed,public_institution,,https://twitter.com/stlouisfed?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
European Central Bank,public_institution,,https://twitter.com/ecb?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Cleveland Fed,public_institution,,https://twitter.com/ClevelandFed?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Kansas City Fed,public_institution,,https://twitter.com/KansasCityFed?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
San Francisco Fed,public_institution,,https://twitter.com/sffed?lang=en
Canopy Growth,private_institution,,https://twitter.com/CanopyGrowth?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
White Diamond,private_institution,,https://twitter.com/whiteresearch?lang=en
Tim Cook,ceo_tech,58,https://twitter.com/tim_cook?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Capital Economics China,public_institution,,https://twitter.com/capeconchina?lang=en
Ben Bernanke,ceo_financial,65,https://twitter.com/benbernanke?lang=en
NY Fed Research,public_institution,,https://twitter.com/NYFedResearch?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Citron Research,private_institution,,https://twitter.com/citronresearch?lang=en
Carleton English,financial_columnist,,https://twitter.com/carletonenglish?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Richard Branson,ceo_tech,68,https://twitter.com/richardbranson?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Jeff Bezos,ceo_tech,55,https://twitter.com/jeffbezos?lang=en
Peter Thiel,ceo_vc,51,https://twitter.com/peterthiel?lang=en
Matt Levine,financial_columnist,,https://twitter.com/matt_levine?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
George Soros,philanthropist,88,https://twitter.com/georgesoros?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Seth Klarman,hedge_fund_manager,62,https://twitter.com/sethklarman?lang=en
Jeffrey Gundlach,hedge_fund_manager,59,https://twitter.com/truthgundlach?lang=en
Ray Dalio,hedge_fund_manager,69,https://twitter.com/RayDalio?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Lloyd Blankfein,ceo_financial,64,https://twitter.com/lloydblankfein?lang=en
Mark Cuban,ceo_tech,60,https://twitter.com/mcuban?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Carl Quintanilla,financial_columnist,48,https://twitter.com/carlquintanilla?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
The Motley Fool,private_institution,,https://twitter.com/themotleyfool?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Elon Musk,ceo_tech,48,https://twitter.com/elonmusk?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Donald J. Trump,potus,73,https://twitter.com/realDonaldTrump?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Goldman Sachs,private_institution,,https://twitter.com/GoldmanSachs?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Jim Cramer,ceo_financial,64,https://twitter.com/jimcramer?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Carl Icahn,ceo_financial,83,https://twitter.com/carl_c_icahn?lang=en
CNN Breaking News,financial_media,,https://twitter.com/cnnbrk?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
The New York Times,financial_media,,https://twitter.com/nytimes?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
BBC Breaking News ,financial_media,,https://twitter.com/BBCBreaking?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Wall Street Market,financial_media,,https://twitter.com/WSJmarkets
Market Watch,financial_media,,https://twitter.com/MarketWatch
Eric Jackson,financial_columnist,,https://twitter.com/ericjackson/
